date,subject,link
"Jul 29, 2024","Public Notice for e-Auction of immoveable properties relating to Golden Life Agro India Ltd., RTC Properties India Ltd., Orion Industries Ltd. & Rakhal Bharoti Group Of Companies Corrigendum",https://www.sebi.gov.in/enforcement/auction-notice-under-recovery-proceedings/jul-2024/public-notice-for-e-auction-of-immoveable-properties-relating-to-golden-life-agro-india-ltd-rtc-properties-india-ltd-orion-industries-ltd-and-rakhal-bharoti-group-of-companies_85231.html
"Jul 29, 2024",Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,https://www.sebi.gov.in/filings/mutual-funds/jul-2024/aditya-birla-sun-life-crisil-10-year-gilt-etf_85227.html
"Jul 29, 2024",Aditya Birla Sun Life Nifty India Defence Index Fund,https://www.sebi.gov.in/filings/mutual-funds/jul-2024/aditya-birla-sun-life-nifty-india-defence-index-fund_85226.html
"Jul 29, 2024","Hearing Notice dated July 29, 2024 issued to Commodity Pandit/Services :Proprietor-Ms. Meenu Sharma in the matter of Unregistered Investment Advisor –Commodity Pandit/Services: Prop Meenu Sharma & PC Global Research : Prop Neha Goel",https://www.sebi.gov.in/enforcement/unserved-summons-notices/jul-2024/hearing-notice-dated-july-29-2024-issued-to-commodity-pandit-services-proprietor-ms-meenu-sharma-in-the-matter-of-unregistered-investment-advisor-commodity-pandit-services-prop-meenu-sharma-and-pc-_85224.html
"Jul 29, 2024","Hearing Notice dated July 29, 2024 issued to PC Global Research :Proprietor- Ms. Neha Goel in the matter of Unregistered Investment Advisor –Commodity Pandit/Services: Prop Meenu Sharma & PC Global Research : Prop Neha Goel",https://www.sebi.gov.in/enforcement/unserved-summons-notices/jul-2024/hearing-notice-dated-july-29-2024-issued-to-pc-global-research-proprietor-ms-neha-goel-in-the-matter-of-unregistered-investment-advisor-commodity-pandit-services-prop-meenu-sharma-and-pc-global-re-_85222.html
"Jul 29, 2024","Show Cause Notice dated June 11, 2024 issued to (1) Commodity Pandit/Services :Proprietor-Ms. Meenu Sharma & (2) PC Global Research :Proprietor- Ms. Neha Goel in the matter of Unregistered Investment Advisor –Commodity Pandit/Services: Prop Meenu Sharma & PC Global Research : Prop Neha Goel",https://www.sebi.gov.in/enforcement/unserved-summons-notices/jul-2024/show-cause-notice-dated-june-11-2024-issued-to-1-commodity-pandit-services-proprietor-ms-meenu-sharma-and-2-pc-global-research-proprietor-ms-neha-goel-in-the-matter-of-unregistered-investment-_85221.html
"Jul 26, 2024",Notice of Demand for Recovery Certificate No. 7907 of 2024 against Earth Exim Limited in the matter of trading by certain entities in the scrip of Universal Credit and Securities limited,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/notice-of-demand-for-recovery-certificate-no-7907-of-2024-against-earth-exim-limited-in-the-matter-of-trading-by-certain-entities-in-the-scrip-of-universal-credit-and-securities-limited_85255.html
"Jul 26, 2024",Johnson Controls-Hitachi Air Conditioning India Limited,https://www.sebi.gov.in/filings/takeovers/jul-2024/johnson-controls-hitachi-air-conditioning-india-limited_85218.html
"Jul 26, 2024",Notice of Demand for Recovery Certificate No. 7905 of 2024 against Earth Exim Limited in the matter of trading by certain entities in the scrip of Universal Credit and Securities limited,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/notice-of-demand-for-recovery-certificate-no-7905-of-2024-against-earth-exim-limited-in-the-matter-of-trading-by-certain-entities-in-the-scrip-of-universal-credit-and-securities-limited_85216.html
"Jul 26, 2024",Confirmatory Order in the matter of V Marc India Limited,https://www.sebi.gov.in/enforcement/orders/jul-2024/confirmatory-order-in-the-matter-of-v-marc-india-limited_85214.html
"Jul 26, 2024",Order in respect of Vijay Mallya in the matter of routing of funds to the Indian Securities Market using overseas bank accounts with UBS AG,https://www.sebi.gov.in/enforcement/orders/jul-2024/order-in-respect-of-vijay-mallya-in-the-matter-of-routing-of-funds-to-the-indian-securities-market-using-overseas-bank-accounts-with-ubs-ag_85212.html
"Jul 26, 2024",UTSSAV CZ GOLD JEWELS LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/utssav-cz-gold-jewels-limited_85207.html
"Jul 26, 2024",SATI POLY PLAST LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/sati-poly-plast-limited_85205.html
"Jul 26, 2024",UTSSAV CZ GOLD JEWELS LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/utssav-cz-gold-jewels-limited_85198.html
"Jul 26, 2024",Western Ministil Limited,https://www.sebi.gov.in/filings/takeovers/jul-2024/western-ministil-limited_85197.html
"Jul 26, 2024",Paragon Finance Limited,https://www.sebi.gov.in/filings/takeovers/jul-2024/paragon-finance-limited_85196.html
"Jul 26, 2024",Processing Status : Issues,https://www.sebi.gov.in/filings/processing-status/jul-2024/processing-status-issues_59558.html
"Jul 26, 2024",Processing status - Scheme of Arrangement.,https://www.sebi.gov.in/filings/processing-status/jul-2024/processing-status-scheme-of-arrangement-_48125.html
