Notice No,Subject,Segment Name,Category Name,Department,Notice Url
20240730-11,Action against the Defaulting Companies for non-payment of Annual Listing Fees (ALF) – Equity Segment,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-10,Addition to the BSE SME IPO INDEX,Equity,Index,Index Cell,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-9,Introduction of Any Day STP facility under Weekly option in BANDHAN Mutual Fund,Mutual Fund,Trading,Trading Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-8,Listing of New Securities of VINTAGE COFFEE AND BEVERAGES LIMITED,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-7,Suspension of trading in T-Bills ,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-6,Resignation of Trading Members ,General,Others,Membership Compliance,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-5,Non-Competitive Bidding for Auction of GoI dated Securities (G-secs) on August 02 2024,Debt,Trading,Trading Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-4,Commencement of business by Trading Member Delta Techinvest Private Limited (Member Code: 6887) in Cash and Equity Derivatives segments,General,Others,Membership Compliance,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-3,Demat Auction - 682,General,Settlement/RMS,Post Trade,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-2,Forfeiture of Equity Shares of Aarti Surfactants Ltd.,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-1,Change in Group of Equity Shares of VVIP Infratech Limited,SME,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-48,Order in respect of S.P.Natural Eco-Green Projects (India) Limited,General,Compliance,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-47,Public Issue of  AKUMS DRUGS AND PHARMACEUTICALS LIMITED - Allocation to Anchor Investors ,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-46,Offer to Buy – Acquisition Window (TAKEOVER) for CITYGOLD AND CREDIT CAPITAL LIMITED- Live Activities Schedule,Equity,Trading,Trading Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-45,Daily Bulletin,General,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-44,Change in Name of the Company,Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-43,Rights Entitlements of GACM TECHNOLOGIES LIMITED (EQ-DVR),Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-42,Pre-Trade Risk Control – Limit Price Protection in Equity Derivatives Segment - Update,Derivatives,Trading,Trading Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-41,Listing of Equity Shares of VVIP Infratech Limited,SME,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-40,Rights Entitlements of GACM TECHNOLOGIES LIMITED,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-39,Enhanced Surveillance Measure (ESM),Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-38,Clarifications received from the companies,Equity,Company related,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-37,Applicability of Additional Surveillance Measure,Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-36,Listing of further securities issued by the companies under ESOP/ESOS,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-35,Applicability of Short Term Additional Surveillance Measure (ST-ASM),Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-34,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-33,CHANGES IN PRICE BAND,Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-32,Shifting of scrips to ‘Z’ / ‘ZP’/ ‘ZY’ group,Equity,Company related,Listing Compliance-Monitoring,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-31,Listing of Securities Sampre Nutritions Ltd,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-30,Listing of New Securities of Eiko Lifesciences Ltd,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-29,Listing of Secured Redeemable Non-Convertible Debentures of Edelweiss Financial Services Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-28,Listing of new Commercial Paper of Reliance Retail Ventures Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-27,Listing of new Commercial Paper of TV18 Broadcast Ltd,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-26,Listing of new Commercial Paper of Motilal Oswal Financial Services Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-25,Listing of new Commercial Paper of J.K. CEMENT LTD ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-24,Listing of new Commercial Paper of SBICAP Securities Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-23,Listing of new Commercial Paper of Network 18 Media & Investments Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-22,Listing of new Commercial Paper of CNH Industrial Capital (India) Private Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-21,Listing of new Commercial Paper of Can Fin Homes Ltd.,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-20,Listing of new Commercial Paper of Jamnagar Utilities & Power Private Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-19,Listing of new debt securities of Godrej Properties Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240729-18,Listing of new debt securities of Universal Sompo General Insurance Company Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
